timestamp,elapsed_seconds,memory_mb,growth_mb
2025-10-21 12:27:15,0,15,0
2025-10-21 12:27:45,30,4695,4680
2025-10-21 12:28:15,60,6263,6248
2025-10-21 12:28:45,90,6263,6248
2025-10-21 12:29:15,120,6263,6248
2025-10-21 12:29:45,150,6263,6248
2025-10-21 12:30:15,180,6263,6248
